Frame,Visibility,X,Y,Z,Event,Timestamp
0,0,0.0,0.0,0.0,0,0.0
1,0,0.0,0.0,0.0,0,0.008394927646148713
2,0,0.0,0.0,0.0,0,0.016789855292297425
3,0,0.0,0.0,0.0,0,0.025184782938446136
4,0,0.0,0.0,0.0,0,0.03357971058459485
5,0,0.0,0.0,0.0,0,0.041974638230743565
6,0,0.0,0.0,0.0,0,0.05036956587689227
7,1,1167.0,1223.0,0.0,0,0.058764493523040987
8,0,0.0,0.0,0.0,0,0.0671594211691897
9,0,0.0,0.0,0.0,0,0.07555434881533842
10,0,0.0,0.0,0.0,0,0.08394927646148713
11,0,0.0,0.0,0.0,0,0.09234420410763584
12,0,0.0,0.0,0.0,0,0.10073913175378454
13,0,0.0,0.0,0.0,0,0.10913405939993326
14,0,0.0,0.0,0.0,0,0.11752898704608197
15,0,0.0,0.0,0.0,0,0.1259239146922307
16,0,0.0,0.0,0.0,0,0.1343188423383794
17,0,0.0,0.0,0.0,0,0.14271376998452812
18,0,0.0,0.0,0.0,0,0.15110869763067683
19,0,0.0,0.0,0.0,0,0.15950362527682554
20,0,0.0,0.0,0.0,0,0.16789855292297426
21,0,0.0,0.0,0.0,0,0.17629348056912297
22,0,0.0,0.0,0.0,0,0.1846884082152717
23,0,0.0,0.0,0.0,0,0.1930833358614204
24,0,0.0,0.0,0.0,0,0.2014782635075691
25,0,0.0,0.0,0.0,0,0.2098731911537178
26,0,0.0,0.0,0.0,0,0.21826811879986652
27,0,0.0,0.0,0.0,0,0.22666304644601523
28,0,0.0,0.0,0.0,0,0.23505797409216395
29,0,0.0,0.0,0.0,0,0.24345290173831266
30,0,0.0,0.0,0.0,0,0.2518478293844614
31,0,0.0,0.0,0.0,0,0.2602427570306101
32,0,0.0,0.0,0.0,0,0.2686376846767588
33,0,0.0,0.0,0.0,0,0.2770326123229075
34,0,0.0,0.0,0.0,0,0.28542753996905623
35,0,0.0,0.0,0.0,0,0.2938224676152049
36,0,0.0,0.0,0.0,0,0.30221739526135366
37,0,0.0,0.0,0.0,0,0.31061232290750235
38,0,0.0,0.0,0.0,0,0.3190072505536511
39,0,0.0,0.0,0.0,0,0.3274021781997998
40,0,0.0,0.0,0.0,0,0.3357971058459485
41,0,0.0,0.0,0.0,0,0.3441920334920972
42,0,0.0,0.0,0.0,0,0.35258696113824595
43,0,0.0,0.0,0.0,0,0.36098188878439463
44,0,0.0,0.0,0.0,0,0.3693768164305434
45,0,0.0,0.0,0.0,0,0.37777174407669206
46,0,0.0,0.0,0.0,0,0.3861666717228408
47,0,0.0,0.0,0.0,0,0.3945615993689895
48,0,0.0,0.0,0.0,0,0.4029565270151382
49,0,0.0,0.0,0.0,0,0.4113514546612869
50,0,0.0,0.0,0.0,0,0.4197463823074356
51,0,0.0,0.0,0.0,0,0.42814130995358435
52,0,0.0,0.0,0.0,0,0.43653623759973303
53,0,0.0,0.0,0.0,0,0.4449311652458818
54,0,0.0,0.0,0.0,0,0.45332609289203046
55,0,0.0,0.0,0.0,0,0.4617210205381792
56,0,0.0,0.0,0.0,0,0.4701159481843279
57,0,0.0,0.0,0.0,0,0.47851087583047663
58,0,0.0,0.0,0.0,0,0.4869058034766253
59,0,0.0,0.0,0.0,0,0.49530073112277406
60,0,0.0,0.0,0.0,0,0.5036956587689227
61,0,0.0,0.0,0.0,0,0.5120905864150714
62,0,0.0,0.0,0.0,0,0.5204855140612202
63,0,0.0,0.0,0.0,0,0.5288804417073689
64,0,0.0,0.0,0.0,0,0.5372753693535176
